Club,Boat Type,Sub Category,Rank,Event
DURHAM AMATEUR ROWING CLUB,2x,W 2x Inter,306,Pairs Head 2018
FULHAM REACH BOAT CLUB,2x,W 2x Club,310,Pairs Head 2018
HENLEY ROWING CLUB,2x,W 2x Club,311,Pairs Head 2018
READING ROWING CLUB,2x,W 2x Club,313,Pairs Head 2018
IMPERIAL COLLEGE BOAT CLUB,2x,W 2x,315,Pairs Head 2018
CANTABRIGIAN ROWING CLUB,2x,W 2x,316,Pairs Head 2018
AURIOL KENSINGTON ROWING CLUB,2x,W 2x Fresher,317,Pairs Head 2018
ETON EXCELSIOR ROWING CLUB,2x,W 2x Inter,318,Pairs Head 2018
ETON EXCELSIOR ROWING CLUB,2x,W 2x Champ,320,Pairs Head 2018
ST PAULS GIRLS SCHOOL BOAT CLUB,2x,W 2x Club,322,Pairs Head 2018
BRISTOL CITY OF ROWING CLUB,2-,W 2- Inter,324,Pairs Head 2018
MAIDENHEAD ROWING CLUB,2x,W 2x Inter,323,Pairs Head 2018
UPPER THAMES ROWING CLUB,2x,W 2x Inter,325,Pairs Head 2018
WORCESTER ROWING CLUB,2x,W 2x Champ,328,Pairs Head 2018
VESTA ROWING CLUB,2-,W 2- Inter,329,Pairs Head 2018
ROB ROY BOAT CLUB,2x,W 2x Club,330,Pairs Head 2018
WORCESTER ROWING CLUB,2-,W 2- Inter,334,Pairs Head 2018
WORCESTER ROWING CLUB,2x,W 2x Inter,335,Pairs Head 2018
WALTON ROWING CLUB,2x,W 2x Inter,336,Pairs Head 2018
HENLEY ROWING CLUB,2x,W 2x Club,337,Pairs Head 2018
TEAM KEANE SCULLING SCHOOL,2x,W 2x Club,339,Pairs Head 2018
WARWICK BOAT CLUB,2x,W 2x Club,342,Pairs Head 2018
ROB ROY BOAT CLUB,2x,W 2x Club,343,Pairs Head 2018
EMANUEL SCHOOL BOAT CLUB,2x,W 2x Champ,344,Pairs Head 2018
BRISTOL CITY OF ROWING CLUB,2-,W 2- Champ,345,Pairs Head 2018
CHAMPION OF THE THAMES (CAMBRIDGE) RC,2x,W 2x Club,350,Pairs Head 2018
BARNES BRIDGE LADIES ROWING CLUB,2-,W2-,351,Pairs Head 2018
FURNIVALL SCULLING CLUB,2-,W 2- Champ,353,Pairs Head 2018
WEYBRIDGE ROWING CLUB,2-,W2-,354,Pairs Head 2018
WORCESTER ROWING CLUB,2x,W 2x Inter,356,Pairs Head 2018
BRISTOL CITY OF ROWING CLUB,2x,W 2x Inter,357,Pairs Head 2018
GLOUCESTER ROWING CLUB,2x,W 2x Fresher,359,Pairs Head 2018
CAMBRIDGE 99 ROWING CLUB,2x,W 2x Club,360,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2x,W 2x Fresher,361,Pairs Head 2018
ROB ROY BOAT CLUB,2x,W 2x Club,362,Pairs Head 2018
HENLEY ROWING CLUB,2-,W 2- Champ,364,Pairs Head 2018
MAIDENHEAD ROWING CLUB,2x,W 2x Inter,365,Pairs Head 2018
WARWICK BOAT CLUB,2x,W 2x,366,Pairs Head 2018
MAIDSTONE INVICTA ROWING CLUB,2x,W 2x Club,367,Pairs Head 2018
LLANDAFF ROWING CLUB,2x,W 2x Club,368,Pairs Head 2018
LEA ROWING CLUB,2-,W 2- Inter,369,Pairs Head 2018
TWICKENHAM ROWING CLUB,2-,W 2- Club,370,Pairs Head 2018
ARDINGLY ROWING CLUB,2x,W 2x Club,371,Pairs Head 2018
MARLOW ROWING CLUB,2x,W 2x Inter,373,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2-,W 2- Champ,374,Pairs Head 2018
BRADFORD AMATEUR ROWING CLUB,2x,W 2x Inter,375,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x,376,Pairs Head 2018
WEYBRIDGE ROWING CLUB,2x,W 2x Inter,379,Pairs Head 2018
CANTABRIGIAN ROWING CLUB,2-,W 2-,381,Pairs Head 2018
WALTON ROWING CLUB,2x,W 2x Champ,382,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2x,W 2x Club,383,Pairs Head 2018
WALTON ROWING CLUB,2-,W 2- Club,384,Pairs Head 2018
KINGS SCHOOL ELY THE BOAT CLUB,2x,W 2x Club,385,Pairs Head 2018
AURIOL KENSINGTON ROWING CLUB,2x,W 2x Club,386,Pairs Head 2018
MAIDSTONE INVICTA ROWING CLUB,2x,W 2x Club,387,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2x,W 2x Fresher,388,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2-,W 2- Champ,389,Pairs Head 2018
ROSS ROWING CLUB,2x,W 2x Inter,390,Pairs Head 2018
BARNES BRIDGE LADIES ROWING CLUB,2x,W 2x,391,Pairs Head 2018
ARDINGLY ROWING CLUB,2-,W 2-,392,Pairs Head 2018
SONS OF THE THAMES ROWING CLUB,2x,W 2x Fresher,393,Pairs Head 2018
TWICKENHAM ROWING CLUB,2x,W 2x Club,394,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Club,396,Pairs Head 2018
LOUGHBOROUGH BOAT CLUB,2-,W 2-,398,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2x,W 2x Fresher,399,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2x,W 2x Club,401,Pairs Head 2018
TWICKENHAM ROWING CLUB,2x,W 2x Club,402,Pairs Head 2018
KINGS SCHOOL ELY THE BOAT CLUB,2x,W 2x Club,403,Pairs Head 2018
YORK CITY ROWING CLUB,2x,W 2x Club,404,Pairs Head 2018
AURIOL KENSINGTON ROWING CLUB,2x,W 2x Fresher,405,Pairs Head 2018
ST PAULS GIRLS SCHOOL BOAT CLUB,2-,W 2- Champ,406,Pairs Head 2018
ARDINGLY ROWING CLUB,2x,W 2x Club,408,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2x,W 2x Club,410,Pairs Head 2018
SONS OF THE THAMES ROWING CLUB,2x,W 2x Club,411,Pairs Head 2018
HSBC ROWING CLUB,2x,W 2x Fresher,414,Pairs Head 2018
CHAMPION OF THE THAMES (CAMBRIDGE) RC,2x,W 2x Fresher,415,Pairs Head 2018
CAMBRIDGE 99 ROWING CLUB,2x,W 2x Fresher,416,Pairs Head 2018
WORCESTER ROWING CLUB,2x,W 2x Club,417,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Club,418,Pairs Head 2018
SONS OF THE THAMES ROWING CLUB,2-,W 2- Inter,419,Pairs Head 2018
WALBROOK ROWING CLUB,2x,W 2x Club,421,Pairs Head 2018
MAIDSTONE INVICTA ROWING CLUB,2-,W 2- Club,422,Pairs Head 2018
HSBC ROWING CLUB,2-,W 2- Club,423,Pairs Head 2018
TWICKENHAM ROWING CLUB,2x,W 2x Club,424,Pairs Head 2018
LLANDAFF ROWING CLUB,2-,W 2- Club,425,Pairs Head 2018
FULHAM REACH BOAT CLUB,2x,W 2x Fresher,426,Pairs Head 2018
QUEENS GATE ROWING CLUB,2x,W 2x Club,428,Pairs Head 2018
MARLOW ROWING CLUB,2x,W 2x Fresher,429,Pairs Head 2018
BARNES BRIDGE LADIES ROWING CLUB,2x,W 2x Fresher,430,Pairs Head 2018
THAMES ROWING CLUB,2x,W 2x Club,431,Pairs Head 2018
ETON EXCELSIOR ROWING CLUB,2x,W 2x Fresher,433,Pairs Head 2018
ETON EXCELSIOR ROWING CLUB,2x,W 2x Inter,434,Pairs Head 2018
WEYBRIDGE LADIES AMATEUR ROWING CLUB,2-,W 2-,435,Pairs Head 2018
ETON EXCELSIOR ROWING CLUB,2x,W 2x Club,436,Pairs Head 2018
WEYBRIDGE ROWING CLUB,2-,W 2- Club,437,Pairs Head 2018
MEDWAY TOWNS ROWING CLUB,2x,W 2x Club,438,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2x,W 2x Club,439,Pairs Head 2018
TEAM KEANE SCULLING SCHOOL,2x,W 2x Club,440,Pairs Head 2018
WALLINGFORD ROWING CLUB,2x,W 2x Inter,442,Pairs Head 2018
GREEN TEMPLETON BOAT CLUB,2-,W 2- Champ,444,Pairs Head 2018
READING ROWING CLUB,2-,W 2- Inter,445,Pairs Head 2018
LEA ROWING CLUB,2-,W 2- Inter,447,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2x,W 2x Fresher,448,Pairs Head 2018
LYMINGTON AMATEUR ROWING CLUB,2-,W 2- Club,449,Pairs Head 2018
MAIDENHEAD ROWING CLUB,2x,W 2x Fresher,450,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2x,W 2x Club,452,Pairs Head 2018
BARN ELMS ROWING CLUB,2-,W 2- Club,453,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Club,455,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x,456,Pairs Head 2018
TEAM KEANE SCULLING SCHOOL,2x,W 2x Fresher,457,Pairs Head 2018
BARN ELMS ROWING CLUB,2-,W 2- Club,460,Pairs Head 2018
PUTNEY TOWN ROWING CLUB,2-,W2-,461,Pairs Head 2018
WALBROOK ROWING CLUB,2x,W 2x,462,Pairs Head 2018
TEAM KEANE SCULLING SCHOOL,2x,W 2x Club,463,Pairs Head 2018
EMANUEL SCHOOL BOAT CLUB,2x,W 2x Club,464,Pairs Head 2018
AURIOL KENSINGTON ROWING CLUB,2x,W 2x Club,465,Pairs Head 2018
HSBC ROWING CLUB,2x,W 2x Club,467,Pairs Head 2018
WORCESTER ROWING CLUB,2x,W 2x,468,Pairs Head 2018
NORTH STAFFORDSHIRE ROWING CLUB,2x,W 2x Club,469,Pairs Head 2018
WALBROOK ROWING CLUB,2x,W 2x Club,470,Pairs Head 2018
BARNES BRIDGE LADIES ROWING CLUB,2x,W 2x Fresher,473,Pairs Head 2018
UPPER THAMES ROWING CLUB,2x,W 2x Fresher,474,Pairs Head 2018
BARNES BRIDGE LADIES ROWING CLUB,2x,W 2x Fresher,476,Pairs Head 2018
WEYBRIDGE ROWING CLUB,2-,W2-,478,Pairs Head 2018
HENLEY ROWING CLUB,8+,Girls Ch 8+,59,Schools Head 2018
HEADINGTON SCHOOL OXFORD BOAT CLUB,8+,Girls Ch 8+,67,Schools Head 2018
LADY ELEANOR HOLLES BOAT CLUB,8+,Girls Ch 8+,77,Schools Head 2018
GLASGOW ACADEMY ROWING CLUB,8+,Girls Ch 8+,90,Schools Head 2018
ENNISKILLEN ROYAL BOAT CLUB - IRELAND,8+,Girls Sch 1s 8+,99,Schools Head 2018
HENLEY ROWING CLUB,8+,Girls J16 8+,100,Schools Head 2018
LEA ROWING CLUB,8+,Girls Ch 8+,103,Schools Head 2018
NOTTINGHAMSHIRE COUNTY ROWING ASSN,8+,Girls Sch 1s 8+,106,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,8+,Girls Ch 8+,110,Schools Head 2018
SURBITON HIGH SCHOOL BOAT CLUB,8+,Girls J16 8+,115,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,4x,Girls Ch 4x-,128,Schools Head 2018
LADY ELEANOR HOLLES BOAT CLUB,8+,Girls J16 8+,134,Schools Head 2018
GLOUCESTER HARTPURY,4x,Girls Ch 4x-,138,Schools Head 2018
MARLOW ROWING CLUB,4x,Girls Ch 4x-,144,Schools Head 2018
HEADINGTON SCHOOL OXFORD BOAT CLUB,8+,Girls Sch 1s 8+,148,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,8+,Girls J15 8+,151,Schools Head 2018
SIR WILLIAM PERKINS'S SCHOOL ROWING CLUB,4x,Girls Ch 4x-,161,Schools Head 2018
YARM SCHOOL BOAT CLUB,8+,Girls Sch 1s 8+,164,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8+,Girls Sch 1s 8+,166,Schools Head 2018
HENLEY ROWING CLUB,8+,Girls J15 8+,167,Schools Head 2018
TIDEWAY SCULLERS SCHOOL,4x,Girls Ch 4x-,168,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,8+,Girls Sch 1s 8+,171,Schools Head 2018
GODOLPHIN & LATYMER SCHOOL BOAT CLUB,8+,Girls J16 8+,175,Schools Head 2018
ST PAULS GIRLS SCHOOL BOAT CLUB,8+,Girls J16 8+,177,Schools Head 2018
HEADINGTON SCHOOL OXFORD BOAT CLUB,8+,Girls J16 8+,184,Schools Head 2018
MARLOW ROWING CLUB,8+,Girls J15 8+,185,Schools Head 2018
MONMOUTH SCHOOL FOR GIRLS RC,8+,Girls Sch 1s 8+,191,Schools Head 2018
SURBITON HIGH SCHOOL BOAT CLUB,8+,Girls J15 8+,193,Schools Head 2018
PANGBOURNE COLLEGE BOAT CLUB,8+,Girls Sch 1s 8+,194,Schools Head 2018
MARLOW ROWING CLUB,4x,Girls J16 4x-,199,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,Girls Sch 1s 8+,200,Schools Head 2018
GLASGOW SCHOOLS ROWING CLUB,8+,Girls J15 8+,205,Schools Head 2018
LADY ELEANOR HOLLES BOAT CLUB,8+,Girls J15 8+,209,Schools Head 2018
NOTTINGHAMSHIRE COUNTY ROWING ASSN,4x,Girls J16 4x-,212,Schools Head 2018
SHIPLAKE COLLEGE BOAT CLUB,4x,Girls Ch 4x-,219,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,4x,Girls Ch 4x-,220,Schools Head 2018
CANTABRIGIAN ROWING CLUB,8+,Girls Sch 1s 8+,221,Schools Head 2018
ST EDWARDS SCHOOL BOAT CLUB,4x,Girls Ch 4x-,224,Schools Head 2018
KINGS SCHOOL ELY THE BOAT CLUB,4x,Girls Ch 4x-,228,Schools Head 2018
HENLEY ROWING CLUB,4+,Girls Sch/Jun 4+,229,Schools Head 2018
KINGSTON ROWING CLUB,4+,Girls J16 4+,230,Schools Head 2018
NOTTINGHAM AND UNION ROWING CLUB,4x,Girls J16 4x-,231,Schools Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,4+,Girls Sch/Jun 4+,233,Schools Head 2018
SIR WILLIAM PERKINS'S SCHOOL ROWING CLUB,4x,Girls Ch 4x-,235,Schools Head 2018
DURHAM SCHOOL BOAT CLUB,4x,Girls Ch 4x-,236,Schools Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,8+,Girls J15 8+,239,Schools Head 2018
KINGS SCHOOL WORCESTER THE BOAT CLUB,4x,Girls Ch 4x-,241,Schools Head 2018
HINKSEY SCULLING SCHOOL,4x,Girls J16 4x-,242,Schools Head 2018
WALTON ROWING CLUB,4x,Girls J16 4x-,243,Schools Head 2018
HEREFORD CATHEDRAL SCHOOL BOAT CLUB,4x,Girls Ch 4x-,245,Schools Head 2018
GREAT MARLOW SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,246,Schools Head 2018
TIDEWAY SCULLERS SCHOOL,8+,Girls J15 8+,247,Schools Head 2018
NOTTINGHAM ROWING CLUB,4x,Girls Ch 4x-,248,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,8+,Girls J15 8+,249,Schools Head 2018
SUDBURY ROWING CLUB,4x,Girls Ch 4x-,250,Schools Head 2018
GODOLPHIN & LATYMER SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,251,Schools Head 2018
SIR WILLIAM PERKINS'S SCHOOL ROWING CLUB,4x,Girls J16 4x-,253,Schools Head 2018
ABERDEEN SCHOOLS ROWING ASSOCIATION,4+,Girls Sch/Jun 4+,255,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,4+,Girls J16 4+,256,Schools Head 2018
SIR WILLIAM BORLASE'S GRAM SCH BOAT CLUB,8+,Girls J15 8+,258,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,8+,Girls J15 8+,259,Schools Head 2018
LEA ROWING CLUB,8+,Girls J15 8+,261,Schools Head 2018
SURBITON HIGH SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,262,Schools Head 2018
NOTTINGHAM AND UNION ROWING CLUB,8+,Girls J15 8+,265,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8+,Girls J15 8+,266,Schools Head 2018
STRATFORD-UPON-AVON BOAT CLUB,4x,Girls J16 4x-,267,Schools Head 2018
GODOLPHIN & LATYMER SCHOOL BOAT CLUB,8+,Girls J15 8+,268,Schools Head 2018
LADY ELEANOR HOLLES BOAT CLUB,8+,Girls J15 8+,270,Schools Head 2018
TWICKENHAM ROWING CLUB,8+,Girls J15 8+,271,Schools Head 2018
NORTHWICH ROWING CLUB,8+,Girls J16 8+,272,Schools Head 2018
MONMOUTH SCHOOL FOR GIRLS RC,8+,Girls J15 8+,273,Schools Head 2018
NORWICH SCHOOL BOAT CLUB,8+,Girls Sch 1s 8+,274,Schools Head 2018
KINGS SCHOOL WORCESTER THE BOAT CLUB,8+,Girls Sch 1s 8+,276,Schools Head 2018
STAINES BOAT CLUB,4x,Girls J16 4x-,276,Schools Head 2018
ST PAULS GIRLS SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,276,Schools Head 2018
SHIPLAKE VIKINGS ROWING CLUB,4x,Girls J16 4x-,279,Schools Head 2018
CANFORD SCHOOL BOAT CLUB,4x,Girls Ch 4x-,280,Schools Head 2018
MOLESEY BOAT CLUB,4+,Girls Sch/Jun 4+,281,Schools Head 2018
WIMBLEDON HIGH SCHOOL BOAT CLUB,4x,Girls J16 4x-,285,Schools Head 2018
LADY ELEANOR HOLLES BOAT CLUB,4+,Girls Sch/Jun 4+,286,Schools Head 2018
HINKSEY SCULLING SCHOOL,4x,Girls Ch 4x-,288,Schools Head 2018
KINGS SCHOOL CANTERBURY THE BOAT CLUB,4x,Girls Ch 4x-,290,Schools Head 2018
STRATFORD-UPON-AVON BOAT CLUB,4+,Girls J16 4+,291,Schools Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,4+,Girls J16 4+,292,Schools Head 2018
LADY ELEANOR HOLLES BOAT CLUB,4x,Girls J16 4x-,294,Schools Head 2018
DERBY ROWING CLUB,4x,Girls J16 4x-,296,Schools Head 2018
TRENTHAM BOAT CLUB,4+,Girls J16 4+,297,Schools Head 2018
LATYMER UPPER SCHOOL BOAT CLUB,4+,Girls J16 4+,298,Schools Head 2018
CANTABRIGIAN ROWING CLUB,8+,Girls J16 8+,299,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,4+,Girls J16 4+,301,Schools Head 2018
MONKTON COMBE SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,302,Schools Head 2018
SURBITON HIGH SCHOOL BOAT CLUB,8+,Girls J15 8+,303,Schools Head 2018
CRANBROOK SCHOOL BOAT CLUB,4x,Girls Ch 4x-,305,Schools Head 2018
MONMOUTH SCHOOL FOR GIRLS RC,4+,Girls J16 4+,306,Schools Head 2018
GREAT MARLOW SCHOOL BOAT CLUB,8+,Girls J15 8+,307,Schools Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,4x,Girls Ch 4x-,308,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,8+,Girls J15 8+,309,Schools Head 2018
METHODIST COLLEGE BELFAST ROWING CLUB,8+,Girls Sch 1s 8+,310,Schools Head 2018
GODOLPHIN & LATYMER SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,312,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,8+,Girls J15 8+,313,Schools Head 2018
KINGS SCHOOL CHESTER THE ROWING CLUB,4x,Girls J16 4x-,316,Schools Head 2018
METHODIST COLLEGE BELFAST ROWING CLUB,8+,Girls J16 8+,318,Schools Head 2018
SACRED HEART HIGH SCHOOL ROWING CLUB,4x,Girls J16 4x-,320,Schools Head 2018
CHELTENHAM COLLEGE BOAT CLUB,4x,Girls Ch 4x-,321,Schools Head 2018
KING EDWARD VI SCHOOL BOAT CLUB,4+,Girls Sch/Jun 4+,322,Schools Head 2018
CANTABRIGIAN ROWING CLUB,8+,Girls Sch 1s 8+,323,Schools Head 2018
DURHAM SCHOOL BOAT CLUB,4x,Girls Ch 4x-,324,Schools Head 2018
ST GEORGES COLLEGE BOAT CLUB,4+,Girls Sch/Jun 4+,325,Schools Head 2018
EMANUEL SCHOOL BOAT CLUB,4x,Girls J16 4x-,327,Schools Head 2018
ST PAULS GIRLS SCHOOL BOAT CLUB,8+,Girls J15 8+,328,Schools Head 2018
CITY OF CAMBRIDGE ROWING CLUB,4+,Girls J16 4+,331,Schools Head 2018
WIMBLEDON HIGH SCHOOL BOAT CLUB,4+,Girls J16 4+,332,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8+,Girls J15 8+,333,Schools Head 2018
PANGBOURNE COLLEGE BOAT CLUB,8+,Girls J15 8+,334,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,4+,Girls Sch/Jun 4+,336,Schools Head 2018
SACRED HEART HIGH SCHOOL ROWING CLUB,4x,Girls J16 4x-,337,Schools Head 2018
GORSE THE BOAT CLUB,4+,Girls Sch/Jun 4+,339,Schools Head 2018
TRENTHAM BOAT CLUB,4x+,W.J15.4x+,7,Schools Head 2018
LINCOLN ROWING CENTRE,8+,W.Beginner.8+,9,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8+,W.J15.8+,11,Schools Head 2018
YORK CITY ROWING CLUB,4x+,W.J15.4x+,15,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,4x+,W.J15.4x+,16,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8x+,W.J14.8x+,19,Schools Head 2018
NOTTINGHAM UNIVERSITY BOAT CLUB,8+,W.Beginner.8+,21,Schools Head 2018
NOTTINGHAM ROWING CLUB,4x,W.Beginner.4x-,22,Schools Head 2018
BURTON LEANDER ROWING CLUB,8+,W.Beginner.8+,23,Schools Head 2018
TRENTHAM BOAT CLUB,4x+,W.J14.4x+,24,Schools Head 2018
SWANSEA UNIVERSITY ROWING CLUB,8+,W.Beginner.8+,25,Schools Head 2018
NOTTINGHAM TRENT UNIVERSITY ROWING CLUB,4x,W.Beginner.4x-,26,Schools Head 2018
YORK CITY ROWING CLUB,4x+,W.J14.4x+,28,Schools Head 2018
BECKET ROWING CLUB,4x+,W.J15.4x+,28,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8+,W.J15.8+,30,Schools Head 2018
NOTTINGHAM ROWING CLUB,4x+,W.J15.4x+,31,Schools Head 2018
ROYAL SHREWSBURY SCHOOL BOAT CLUB,8+,W.Beginner.8+,32,Schools Head 2018
NORTH STAFFORDSHIRE ROWING CLUB,4x+,W.J14.4x+,33,Schools Head 2018
NORTHWICH ROWING CLUB,4x+,W.J15.4x+,34,Schools Head 2018
YORK CITY ROWING CLUB,4x+,W.J15.4x+,35,Schools Head 2018
TRENT ROWING CLUB,4x,W.Beginner.4x-,36,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,4x+,W.J15.4x+,37,Schools Head 2018
NOTTINGHAM AND UNION ROWING CLUB,4x+,W.J14.4x+,39,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8x+,W.J14.8x+,40,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,4x+,W.J15.4x+,41,Schools Head 2018
NOTTINGHAM ROWING CLUB,4x,W.Beginner.4x-,42,Schools Head 2018
NOTTINGHAM TRENT UNIVERSITY ROWING CLUB,4x,W.Beginner.4x-,43,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,4x+,W.J14.4x+,44,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,4x+,W.J14.4x+,45,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,4x+,W.J14.4x+,47,Schools Head 2018
NOTTINGHAM ROWING CLUB,8+,W.B1.8+,3,Schools Head 2018
AGECROFT ROWING CLUB,8+,W.B1.8+,8,Schools Head 2018
GROSVENOR ROWING CLUB,8+,W.B1.8+,16,Schools Head 2018
NOTTINGHAMSHIRE COUNTY RA,8+,W.B1.8+,19,Schools Head 2018
NOTTINGHAMSHIRE COUNTY RA,4x,W.B1.4x-,27,Schools Head 2018
AGECROFT ROWING CLUB,8+,W.B1.8+,23,Schools Head 2018
WARRINGTON ROWING CLUB,4x,W.J18.4x-,27,Schools Head 2018
NEWARK ROWING CLUB,8+,W.B2.8+,28,Schools Head 2018
WARRINGTON ROWING CLUB,4x,W.B1.4x-,30,Schools Head 2018
NOTTINGHAM ROWING CLUB,8+,W.B2.8+,29,Schools Head 2018
LEEDS ROWING CLUB,8+,W.B2.8+,30,Schools Head 2018
CITY OF SHEFFIELD RC,8+,W.B1.8+,32,Schools Head 2018
NOTTINGHAMSHIRE COUNTY RA,4x,W.J18.4x-,33,Schools Head 2018
NOTTINGHAMSHIRE COUNTY RA,4x,W.J16.4x-,36,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,8+,W.J18.8+,37,Schools Head 2018
NOTTINGHAM & UNION ROWING CLUB,8+,W.J16.8+,38,Schools Head 2018
STAR CLUB,4x,W.J18.4x-,41,Schools Head 2018
YARM SCHOOL BOAT CLUB,4x,W.B1.4x-,34,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,4x,W.J18.4x-,42,Schools Head 2018
MILTON KEYNES ROWING CLUB [C],8+,W.MasB/C.8+,35,Schools Head 2018
KINGS SCHOOL CHESTER,8+,W.J16.8+,43,Schools Head 2018
YARM SCHOOL BOAT CLUB,8+,W.J18.8+,45,Schools Head 2018
LEICESTER RC / TRENTHAM BC [D],4x,W.MasC/D.4x-,47,Schools Head 2018
HOLLINGWORTH LAKE ROWING CLUB,4x,W.B1.4x-,40,Schools Head 2018
WARWICK BOAT CLUB,4x,W.B1.4x-,41,Schools Head 2018
NORTH STAFFORDSHIRE ROWING CLUB [C],8+,W.MasB/C.8+,43,Schools Head 2018
DURHAM/BARNES BRIDGE/KINGSTON,4x,W.MasF.4x-,49,Schools Head 2018
LEEDS ROWING CLUB [C],4x,W.MasC/D.4x-,50,Schools Head 2018
WARRINGTON ROWING CLUB,4x,W.B2.4x-,44,Schools Head 2018
NOTTINGHAM & UNION ROWING CLUB,8+,W.B3.8+,51,Schools Head 2018
PETERBOROUGH CITY ROWING CLUB [B],8+,W.MasB/C.8+,45,Schools Head 2018
NOTTINGHAM ROWING CLUB,4x,W.B2.4x-,47,Schools Head 2018
YORK CITY ROWING CLUB [D],8+,W.MasD/E.8+,48,Schools Head 2018
KINGS SCHOOL CHESTER,8+,W.J16.8+,56,Schools Head 2018
NORTHAMPTON ROWING CLUB,4x,W.B1.4+,51,Schools Head 2018
YORK CITY ROWING CLUB,4x,W.J18.4x-,57,Schools Head 2018
LEEDS ROWING CLUB,4x,W.B2.4x-,52,Schools Head 2018
KINGS SCHOOL CHESTER,4x,W.B2.4x-,53,Schools Head 2018
LEEDS ROWING CLUB,4x,W.B1.4+,54,Schools Head 2018
BRADFORD AMATEUR ROWING CLUB [D],8+,W.MasD/E.8+,55,Schools Head 2018
DEVIL'S ELBOW ROWING CLUB,8+,W.B3.8+,58,Schools Head 2018
SWANSEA UNIVERSITY ROWING CLUB,4x,W.B2.4x-,56,Schools Head 2018
DURHAM AMATEUR ROWING CLUB,4x,W.MasF.4x-,60,Schools Head 2018
LEICESTER ROWING CLUB,8+,W.B3.8+,61,Schools Head 2018
YORK CITY ROWING CLUB,4x,W.B1.4+,59,Schools Head 2018
BEDFORD MODERN SCHOOL BOAT CLUB,4x,W.J16.4x-,62,Schools Head 2018
LINCOLN ROWING CENTRE,4x,W.B2.4x-,60,Schools Head 2018
STAR CLUB [E],8+,W.MasD/E.8+,61,Schools Head 2018
